year,r_mas,flux,err
2010.5260273972603,0.040268456375838924,0.2612945421334578,0.05658967141066969
2010.8657534246574,0.040268456375838924,0.23634975994718782,0.05268256277017904
2011.1561643835616,0.040268456375838924,0.22883233607058284,0.051505106436297694
2012.0983606557377,0.040268456375838924,0.2265619770396684,0.05114949942716597
2013.158904109589,0.040268456375838924,0.23597811188066878,0.052624351423169666
2014.0657534246575,0.040268456375838924,0.3113542857539011,0.06443054391778004
2015.0465753424658,0.040268456375838924,0.2976764342030767,0.06228817796811908
2015.6794520547944,0.040268456375838924,0.25144490363573774,0.05504691960819721
2016.0573770491803,0.040268456375838924,0.19929510994942043,0.04687868193868711
2016.4562841530055,0.040268456375838924,0.30916597743179725,0.06408778853553199
2016.879781420765,0.040268456375838924,0.3850915839467628,0.07598003882795569
2017.4575342465753,0.040268456375838924,0.42989812057556887,0.08299809996417307
2017.7972602739726,0.040268456375838924,0.49309958036871027,0.09289736337747807
2017.8575342465754,0.040268456375838924,0.46633915089856914,0.08870586936380903
2018.304109589041,0.040268456375838924,0.6822412728587102,0.12252268283252063
2018.4109589041095,0.040268456375838924,0.7721450529192412,0.13660433859781382
2018.9561643835616,0.040268456375838924,0.8161187660102164,0.1434919543360171
2019.5890410958905,0.040268456375838924,1.571826085747339,0.26185861621258844
2019.958904109589,0.040268456375838924,1.8393243239182164,0.3037569446834109
2020.1256830601094,0.040268456375838924,1.8784454844487009,0.3098845036732348
2020.2704918032787,0.040268456375838924,1.9344850091210852,0.31866199106203935
2020.3497267759562,0.040268456375838924,1.884162889747875,0.31078002256286796
2020.448087431694,0.040268456375838924,1.6190381568546337,0.26925345692842767
2020.5819672131147,0.040268456375838924,1.50736622566528,0.2517622491883835
2020.9781420765028,0.040268456375838924,1.3855774404716958,0.23268643560174002
2021.164383561644,0.040268456375838924,0.9085306640338939,0.15796645736259338
2021.5972602739726,0.040268456375838924,0.5641681322266798,0.10402885175681
2022.1479452054793,0.040268456375838924,0.7646841785905268,0.1354357396364094
2022.441095890411,0.040268456375838924,0.5260358250357694,0.09805617715917592
2023.495890410959,0.040268456375838924,1.0166600241144936,0.174902791138006
2023.868493150685,0.040268456375838924,0.8821070878558517,0.15382772478008494
2024.3551912568305,0.040268456375838924,1.0352207530615556,0.1778099636240735
2024.6284153005465,0.040268456375838924,1.0643586432226908,0.18237384001169338
2024.9726775956285,0.040268456375838924,0.6251804797519128,0.11358523386559685
2025.0684931506848,0.040268456375838924,0.6343960140357663,0.11502866573677191
2025.1397260273973,0.040268456375838924,0.6321797605574969,0.1146815332964161
2025.2027397260274,0.040268456375838924,0.5860128833117584,0.10745040160545352
2025.4136986301369,0.040268456375838924,0.7304874755332903,0.13007949988280018
2025.8164383561643,0.040268456375838924,0.5712914136331549,0.10514457343856531
2025.8931506849315,0.040268456375838924,0.5635999033320366,0.10393984989632234
2010.5260273972603,0.1476510067114094,0.2643500667949103,0.057068259145645554
2010.8657534246574,0.1476510067114094,0.2296449001741394,0.051632378593105946
2011.1561643835616,0.1476510067114094,0.21806008936758187,0.049817846236689375
2012.0983606557377,0.1476510067114094,0.21259345084375747,0.048961605021537395
2013.158904109589,0.1476510067114094,0.22076663723420312,0.05024177363267193
2014.0657534246575,0.1476510067114094,0.30206893681638197,0.06297617695667183
2015.0465753424658,0.1476510067114094,0.28536937456464373,0.06036051956271427
