year,mean,std
2009.0,-0.1646563588067207,0.21503430259338316
2009.0602006688964,-0.1712306565556141,0.20553225481656315
2009.1204013377926,-0.17739884800945482,0.19612345096671469
2009.180602006689,-0.18331809770832752,0.18678874835772988
2009.2408026755852,-0.18925925512240593,0.17755620262267066
2009.3010033444816,-0.1955891155076659,0.16855235482778558
2009.361204013378,-0.2027285601431088,0.15999647528065075
2009.4214046822742,-0.2110884983925041,0.1521354810236947
2009.4816053511706,-0.2210031005827533,0.14515645420659898
2009.5418060200668,-0.23267186189739975,0.13914062824388151
2009.6020066889632,-0.24611958031138892,0.13405438362162164
2009.6622073578596,-0.26120635800390946,0.12976558829116536
2009.7224080267558,-0.27767628667347033,0.1260767249900945
2009.7826086956522,-0.29522574028162385,0.12274664855719684
2009.8428093645484,-0.3135680999963899,0.11953033178266209
2009.9030100334448,-0.3324847715817105,0.11623269485378512
2009.963210702341,-0.35186521807362947,0.11270082433153382
2010.0234113712374,-0.3717262474201686,0.1088084724578722
2010.0836120401339,-0.39221169918427146,0.10445559190226497
2010.14381270903,-0.41356941398440394,0.09955026218401887
2010.2040133779265,-0.4361201104197523,0.09409533908814317
2010.2642140468226,-0.46017869132231226,0.08829075776621008
2010.324414715719,-0.48596336191844913,0.0825898265410723
2010.3846153846155,-0.5134668870022219,0.07773808771067496
2010.4448160535117,-0.5423656355057995,0.07456918291671125
2010.505016722408,-0.5720088143781132,0.07353980031768617
2010.5652173913043,-0.6014636660784891,0.07427898849158766
2010.6254180602007,-0.6297418240698931,0.07567388453343173
2010.685618729097,-0.6559537349383848,0.07670948699382948
2010.7458193979933,-0.679377220340682,0.07707841011460317
2010.8060200668897,-0.6995077201461443,0.07714227178443203
2010.8662207357859,-0.7160556836679186,0.07749738560431091
2010.9264214046823,-0.7289974757650237,0.07850530994229334
2010.9866220735787,-0.7386143829187132,0.080390869633196
2011.046822742475,-0.7454815497704506,0.08375474204027412
2011.1070234113713,-0.7503896169389535,0.0895720117940427
2011.1672240802675,-0.7542176313310058,0.09841083718851709
2011.227424749164,-0.757823053207892,0.10967132904318556
2011.28762541806,-0.7619474580944462,0.12181343724050131
2011.3478260869565,-0.7671111194414656,0.1331860827448684
2011.408026755853,-0.7735201224778879,0.14251060423414932
2011.468227424749,-0.7810249950841898,0.14898077120905187
2011.5284280936455,-0.7891829766031004,0.15219329882121352
2011.5886287625417,-0.7973689309209453,0.1520451456357777
2011.6488294314381,-0.804905757494064,0.1486642015659817
2011.7090301003345,-0.8112025014687418,0.14234312811075336
2011.7692307692307,-0.8158622465363196,0.13357037909374692
2011.8294314381271,-0.818772051217193,0.123145705229268
2011.8896321070233,-0.82015052001792,0.11236920572217567
2011.9498327759197,-0.8205258693982354,0.10328867574867345
2012.0100334448161,-0.8206558988988866,0.09858384044008148
2012.0702341137123,-0.8213624211663824,0.10048502009332691
2012.1304347826087,-0.8233032852119504,0.10904048464497604
2012.190635451505,-0.8267707022929416,0.12189658014318737
2012.2508361204013,-0.831686692737587,0.13601412403634033
2012.3110367892978,-0.8377068357737201,0.1490166961569728
2012.371237458194,-0.8443057501961289,0.15943748760282317
2012.4314381270904,-0.8508406166369826,0.16653722237750407
2012.4916387959865,-0.8566124779003639,0.17007940611272146
2012.551839464883,-0.8609193167334286,0.17015331088505348
2012.6120401337794,-0.8631119120258532,0.16702319613617495
2012.6722408026756,-0.8626475749888856,0.16104239671275644
